part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
65650|9480|424|4|1|1|2013-07-26|NULL
65756|1939|448|4|1|1|2013-07-26|NULL
65854|4687|470|4|1|1|2015-01-20|NULL
66122|7242|579|4|1|1|2018-09-27|NULL
66138|2145|110|9|1|1|2015-06-09|NULL
66146|834|106|4|1|1|2015-10-23|NULL
66158|6322|360|4|1|1|2015-12-31|NULL
66191|452|320|4|1|1|2019-11-05|NULL
66271|3844|135|4|1|1|2020-03-03|NULL
66367|9480|424|4|1|1|2016-02-19|NULL
66583|1939|467|4|1|1|2017-08-14|NULL
67315|7956|198|4|1|1|2018-09-05|NULL
67366|6726|468|4|1|1|2017-12-08|NULL
67392|1190|404|4|1|1|2019-03-13|NULL
67406|9267|391|4|1|1|2018-02-06|NULL
67413|1972|459|4|1|1|2017-02-01|NULL
67486|88|490|4|1|1|2017-04-19|Yaz Mevsimsel
67497|9576|197|4|1|1|2017-02-01|NULL
67823|1900|179|4|1|2|2011-09-07|Kış Mevsimsel
67825|9213|261|23|1|1|2015-05-05|Kış Mevsimsel
68223|2145|594|8|3|1|2010-05-07|NULL
68434|5902|345|8|3|1|2009-06-18|NULL
68605|6030|433|8|3|1|2004-12-24|NULL
68786|3915|607|8|3|1|2010-04-06|NULL
68870|9685|657|8|3|1|2013-01-08|NULL
69082|452|313|8|3|1|2013-04-04|NULL
69251|2316|477|8|3|1|2014-12-11|NULL
69376|5267|487|8|3|1|2012-08-31|NULL
69648|4641|258|8|3|1|2010-04-06|NULL
69651|497|215|8|3|1|2015-11-26|NULL
69961|4949|387|8|3|1|2014-09-16|NULL
69973|7582|408|8|3|1|2015-05-13|NULL
50034|1913|179|5|2|1|2013-01-16|Kış Mevsimsel
50254|2228|396|5|2|1|2004-12-24|NULL
50262|7479|390|5|2|1|2004-12-24|NULL
50548|2632|336|25|1|2|2004-12-24|NULL
50802|11457|591|24|1|427|2004-12-24|NULL
50931|424|314|3|1|2|2005-04-04|NULL
50948|4800|147|32|1|2|2004-12-24|NULL
51015|7654|426|3|1|2|2005-04-04|NULL
51041|8020|377|32|1|2|2004-12-24|Yaz Mevsimsel
51122|10218|426|3|1|2|2006-03-24|NULL
51159|4949|492|3|1|2|2006-04-11|NULL
51226|2552|179|39|1|2|2009-12-16|Kış Mevsimsel
51491|755|391|3|1|2|2004-12-24|NULL
51501|682|445|3|1|424|2004-12-24|NULL
51601|9190|572|32|1|2|2011-03-11|Kış Mevsimsel
51850|4949|487|32|1|2|2010-11-12|NULL
51891|2293|405|11|1|2|2010-06-04|NULL
52466|682|445|3|1|1|2014-04-01|NULL
52471|10057|461|3|1|1|2014-05-21|NULL
